ក	ka
ស្រែអំពក	sreaeaampk
ស្រែអំពូម	sreaeaampum
ស្រែឧទ្ទាម	sreaeutteam
ស្រែឫស្សី	sreaeruessei
ស្រែះ	sreaeh
ស្រោក	srouk
ស្រោកទឹក	srouktuek
ស្រោង	sroung
ស្រោងស្រាង	sroungsreang
ស្រោច	srouch
ស្រោចដំណាំ	srouchdamnam
ស្រោចទឹក	srouchtuek
ស្រោចផ្កា	srouchphka
ស្រោចស្រង់	srouchsrng
ស្រោចស្រព	srouchsrp
ស្រោត	srout
ស្រោតស៑	srouts
ស្រោតា	srouta
ស្រោត័ស	srouts
ស្រោត្រ	sroutr
ស្រោត្រិយ	sroutriy
ស្រោត្រិយៈ	sroutriyeak
ស្រោប	sroub
ស្រោបដណ្ដប់	sroubdandb
ស្រោបដណ្តប់	sroubdantb
ស្រោបប្រាក់	sroubbreak
ស្រោបមាស	sroubmeas
ស្រោម	sroum
ស្រោមក្ដ	sroumkd
ស្រោមខួរ	sroumkhuor
ស្រោមខ្នើយ	sroumkhneuy
ស្រោមជីវិត	sroumchivit
ស្រោមជើង	sroumcheung
ស្រោមដាវ	sroumdav
ស្រោមដៃ	sroumdai
ស្រោមពង	sroumpong
ស្រោមពូក	sroumpuk
ស្រោមពោះ	sroumpuoh
ស្រោមភ្នែក	sroumphneaek
ស្រោមលឹង្គ	sroumluengk
ស្រោមវ៉ែនតា	sroumveaenta
ស្រោមសួត	sroumsuot
ស្រោមស្នែង	sroumsneaeng
ស្រោមអនាម័យ	sroumaaneamey
ស្រោមឫសធ្មេញ	sroumrueosathmenh
ស្រោល	sroul
ស្រោះ	sruoh
ស្រំ	srum
ស្រំម៉ៈបត់	srummeakbt
ស្រះ	sreah
ស្រះកូប	sreahkoub
ស្រះចក	sreahchk
ស្រះជីក	sreahchik
ស្រះទឹក	sreahtuek
ស្រះប្រោះត្រី	sreahbruohtri
ស្រះរាំង	sreahreang
ស្រះស្រង់	sreahsrng
ស្រះស្រី	sreahsri
ស្រះឫស្សី	sreahruessei
ស្រៈ	sreak
ស្រៈកប់តួ	sreakkbtuo
ស្រៈទីឃៈ	sreaktikheak
ស្រៈនិស្ស័យ	sreaknissai
ស្រៈផ្សំ	sreakphsam
ស្រៈពេញតួ	sreakpenhtuo
ស្រៈរស្សៈ	sreakrssak
ស្រៈសំយោគ	sreaksamyouk
ស្រៈអនុស្ស័យ	sreakanussai
ស្រៈអស្រៈអា	sreakasreakaa
ស្រ៉ឹង	srueng
ស្រ៊ិប	srib
ស្រ៊ឹង	srueng
ស្រ៊ឹប	srueb
ស្រ៊ុច	sruch
ស្រ៊ុប	srub
ស្រ៊ូស	srus
ស្រ័យ	srey
ស្រ័ស	srs
ស្រ្ដី	srdei
ស្រ្តា	srta
ស្រ្តី	srtei
ស្រ្តីជា	srteichea
ស្ល	sl
ស្លក	slk
ស្លកកូរ	slkakour
ស្លក់	slk
ស្លក់ស្លាំង	slksleang
ស្លក្រមួន	slkrmuon
ស្លក្រាម	slkream
ស្លង់	slng
ស្លង់រទេះ	slngrteh
ស្លជ័រ	slchr
ស្លឈាម	slchheam
ស្លដែក	sldaek
ស្លត	slt
ស្លថ្នាំ	slthnoam
ស្លទ័ព	sltp
ស្លន់	sln
ស្លន់ខ្លាំង	slnkhleang
ស្លន់ស្លោ	slnslou
ស្លប	slb
ស្លម្ជូរ	slmchur
ស្លស្លុក	slsluk
ស្លា	slea
ស្លាក	sleak
ស្លាកឈើ	sleakchheu
ស្លាកន្សែង	sleaknsaeng
ស្លាកយីហោ	sleakyihao
ស្លាកស្នាម	sleaksneam
ស្លាកាត់	sleakaat
ស្លាកែត	sleakaet
ស្លាកំញាន	sleakamnhean
ស្លាក់	sleak
ស្លាក់ក្រហម	sleakkrham
ស្លាក់ខ្យល់ចង្កេះ	sleakkhylchngkeh
ស្លាក់ឆ្អឹងត្រី	sleakchhaoengtri
ស្លាក់ស	sleaks
ស្លាក់ស្លែង	sleaksleaeng
ស្លាក្រក	sleakrk
ស្លាក្រនៀត	sleakrniet
ស្លាក្រាម	sleakream
ស្លាខ្ចី	sleakhchei
ស្លាចំណិត	sleachamnet
ស្លាឆ្អើរ	sleachhaaeur
ស្លាជម	sleachm
ស្លាជីប	sleachib
ស្លាជ្វា	sleachvea
ស្លាឈ្មោល	sleachhmoul
ស្លាញ	sleanh
ស្លាត	sleat
ស្លាតម្ពុល	sleatmpul
ស្លាតាឱន	sleataaon
ស្លាតាឳន	sleataaun
ស្លាត្រឳន	sleatrauon
ស្លាត្រួយ	sleatruoy
ស្លាថ្មាត់	sleathmoat
ស្លាធម៌	sleathm
ស្លាធម៌កន្ទុយប្រើស	sleathmkntuybreus
ស្លាធម៌ដូង	sleathmdoung
ស្លាប	sleab
ស្លាបកាត់	sleabkaat
ស្លាបកុក	sleabkok
ស្លាបកែវ	sleabkaev
ស្លាបកំភេម	sleabkamphem
ស្លាបក្ដោង	sleabkdaong
ស្លាបក្តោង	sleabktaong
ស្លាបង	sleabng
ស្លាបចក្រ	sleabchakr
ស្លាបចែវ	sleabchaev
ស្លាបច្រវា	sleabchrvea
ស្លាបជ្រឹង	sleabchrueng
ស្លាបទា	sleabtea
ស្លាបទៀវ	sleabtiev
ស្លាបបៀក	sleabbiek
ស្លាបប៉ាកកា	sleabbeakka
ស្លាបប្រចៀវ	sleabbrchiev
ស្លាបប្រជៀវ	sleabbrchiev
ស្លាបព្រា	sleabprea
ស្លាបព្រាចង្អាប	sleabpreachngaab
ស្លាបព្រាឈើ	sleabpreachheu
ស្លាបព្រាបង្អែម	sleabpreabngaaem
ស្លាបព្រាបាយ	sleabpreabay
ស្លាបព្រិល	sleabpril
ស្លាបព្រួញ	sleabpruonh
ស្លាបមាន់	sleabmean
ស្លាបរង្វឹង	sleabrongvueng
ស្លាបរហាត់	sleabrohaat
ស្លាបស	sleabs
ស្លាបសេក	sleabsek
ស្លាបឯក	sleabaeok
ស្លាបៀក	sleabiek
ស្លាប៉ាង	sleabeang
ស្លាប់	sleab
ស្លាប់ក្រឡា	sleabkrla
ស្លាប់ចិត្ត	sleabchett
ស្លាប់ចោលកូន	sleabchaolkoun
ស្លាប់ចោលទៃ	sleabchaoltey
ស្លាប់ដៃស្លាប់ជើង	sleabdaisleabcheung
ស្លាប់តៃហោង	sleabtaihaong
ស្លាប់នឹងកន្លែង	sleabnuengkanleaeng
ស្លាប់ប្រយោជន៍	sleabbryouchn
ស្លាប់ព្រាយ	sleabpreay
ស្លាប់ព្រោះមាត់	sleabpruohmoat
ស្លាប់រពាយ	sleabrpeay
ស្លាប់រស់	sleabrs
ស្លាប់សាច់	sleabsach
ស្លាពរ	sleapr
ស្លាព្រៃ	sleaprey
ស្លាម	sleam
ស្លាមួយដៃ	sleamuoydai
ស្លាមួយស្មែង	sleamuoysmeaeng
ស្លាយ	sleay
ស្លាស្ងាប	sleasngeab
ស្លាស្នាប	sleasneab
ស្លាស្លឹង	sleaslueng
ស្លាអី	sleaaei
ស្លាំង	sleang
ស្លីកស្លក់	slikslk
ស្លឹក	sluek
ស្លឹកកណ្ដប	sluekkandb
ស្លឹកកណ្តប	sluekkantb
ស្លឹកកំប៉ាង	sluekkambeang
ស្លឹកខ្ទឹម	sluekkhtuem
ស្លឹកគ្រៃ	sluekkrey
ស្លឹកចាក	sluekchak
ស្លឹកចេក	sluekchek
ស្លឹកឆក	sluekchhak
ស្លឹកឆកឆែក	sluekchhakachhaek
ស្លឹកឆែក	sluekchhaek
ស្លឹកឆ្លាស់	sluekchhleas
ស្លឹកឈើ	sluekchheu
ស្លឹកត្នោត	sluektnout
ស្លឹកត្រចៀក	sluektrchiek
ស្លឹកត្រែង	sluektreaeng
ស្លឹកទល់ទង	sluektoltng
ស្លឹកទោល	sluektoul
ស្លឹកទំពាំង	sluektumpeang
ស្លឹកទ្រាំង	sluektreang
ស្លឹកបាស	sluekbas
ស្លឹកពោធិ៍	sluekpouthi
ស្លឹកម្លូ	sluekmlu
ស្លឹករឹត	sluekruet
ស្លឹករួមទង	sluekruomtong
ស្លឹកសីមា	sluekseimea
ស្លឹកស្រដៀង	slueksrdieng
ស្លឹង	slueng
ស្លឹប	slueb
ស្លឺ	slueu
ស្លឺត	slueut
ស្លឺតស្លក់	slueutslk
ស្លុក	sluk
ស្លុង	slung
ស្លុងគំនិត	slungkumnit
ស្លុងចិត្ត	slungchett
ស្លុត	slut
ស្លុតចិត្ត	slutchett
ស្លុតជង្គង់	slutchongkng
ស្លុតជំហរ	slutchumhr
ស្លុតជំហាន	slutchumhan
ស្លុតរន្ធត់	slutrontht
ស្លុតស្លន់	slutsln
ស្លុតី	slutei
ស្លុតីកថា	sluteiktha
ស្លុតីបាឋកៈ	sluteibathkak
ស្លុតីវាទ	sluteiveat
ស្លុតីវាទិន	sluteiveatin
ស្លុតីវាទិនី	sluteiveatini
ស្លុតីវាទី	sluteiveati
ស្លុត់រន្ធត់	slutrntht
ស្លុត់ស្លន់	slutsln
ស្លុប	slub
ស្លុយ	sluy
ស្លុះ	sluh
ស្លូកបូត	slukbout
ស្លូញ	slunh
ស្លូត	slut
ស្លូតត្រង់	sluttrng
ស្លូតបូត	slutbout
ស្លូតស្លាប់	slutsleab
ស្លូវើនៀ	sluveunie
ស្លូវ៉ាគី	sluveaki
ស្លួត	sluot
ស្លើត	sleut
ស្លើតស្លក់	sleutslk
ស្លៀ	slie
ស្លៀក	sliek
ស្លៀកខោ	sliekkhao
ស្លៀកខ្យល់ដណ្ដប់មេឃ	sliekkhyldndbmekh
ស្លៀកដណ្ដប់	sliekdandb
ស្លៀកដណ្តប់	sliekdantb
ស្លៀកប៉ឹង	sliekbueng
ស្លៀកពាក់	sliekpeak
ស្លៀកពាក់តាមឧតុនិយម	sliekpeaktamuotoniym
ស្លៀករ៉ូប	sliekrub
ស្លៀកលយឆាយ	sliekloyochhay
ស្លៀកសម្លុយ	slieksamluy
ស្លៀកសំពត់	slieksampt
ស្លៀកសំយេះ	slieksamyeh
ស្លេក	slek
ស្លេកស្លាំង	sleksleang
ស្លេវ	slev
ស្លេស៍	sles
ស្លេស្ម	slesm
ស្លេស្ម៍	slesm
ស្លេស្ម៍រាវ	slesmreav
ស្លេះ	sleh
ស្លេះទុក	slehtuk
ស្លេះរំខាន	slehrumkhan
ស្លែ	sleae
ស្លែង	sleaeng
ស្លែងគង់	sleaengkong
ស្លែងដងដឹង	sleaengdangodoeng
ស្លែងធំ	sleaengthum
ស្លែងព្រវៀក	sleaengprviek
ស្លែងវល្លិ	sleaengvolli
ស្លែងវល្លិ៍	sleaengvolli
ស្លែងស្ពាន	sleaengspean
ស្លែងស្លាក់	sleaengsleak
ស្លែចាប់ចិត្ត	sleaechabchett
ស្លែចិត្ត	sleaechett
ស្លែត	sleaet
ស្លែវ	sleaev
ស្លែះ	sleaeh
ស្លៃ	sley
ស្លោ	slou
ស្លោក	slouk
ស្លោកបាត្រ	sloukbatr
ស្លោកមុខ	sloukmukh
ស្លោទៅ	sloutov
ស្លោម	sloum
ស្លៅ	slov
ស្វ	sv
ស្វក	svk
ស្វកភាឞា	svkapheassea
ស្វកវាទិន៑	svkaveatin
ស្វគ៌	svk
ស្វច្ឆន្ទ	svchchhnt
ស្វច្ឆន្ទា	svchchhntea
ស្វជន	svchon
ស្វត	svt
ស្វទេឝ	svtesh
ស្វទេស	svtes
ស្វទេសភក្ដី	svtesphokdei
ស្វទេសភក្តី	svtesphoktei
ស្វទេសភ័ក្ដ	svtesphkd
ស្វទេសភ័ក្ត	svtesphkt
ស្វធ្យ	svthy
ស្វធ្យាយន	svthyeayn
ស្វន	svn
ស្វប្ន	svbn
ស្វភាវ	svpheav
ស្វភូមិ	svphumi
ស្វយត	svyot
ស្វយម្ពរា	svyomprea
ស្វយម្ពូ	svyompu
ស្វយម្ភូ	svyomphu
ស្វយាធិបតេយ្យ	svyeathibteyy
ស្វយំ	svyum
ស្វយំប្រវត៌	svyumbrvot
ស្វយំភូ	svyumphu
ស្វយំវរា	svyumvrea
ស្វយ័ត	svyt
ស្វរ	svr
ស្វរភាណ	svrophean
ស្វរាង្គ	svreangk
ស្វរូប	svrub
ស្វរៈ	svreak
ស្វលោហិត	svlouhet
ស្វស្ដិ	svsde
ស្វស្ដិក	svsdek
ស្វស្ដិកៈ	svsdekak
ស្វស្ដិភាព	svsdepheap
ស្វស្ដិសុខ	svsdesokh
ស្វស្ដី	svsdei
ស្វស្តិ	svste
ស្វស្តិក	svstek
ស្វស្តិកៈ	svstekak
ស្វស្តិភាព	svstepheap
ស្វស្តិសុខ	svstesokh
ស្វហា	svha
ស្វា	svea
ស្វាកណ្ដូង	sveakndoung
ស្វាក់	sveak
ស្វាក់នឹងស្រី	sveaknuengsri
ស្វាក្រិស	sveakris
ស្វាខុល	sveakhol
ស្វាខោ	sveakhao
ស្វាគត	sveakt
ស្វាគតភាព	sveaktapheap
ស្វាគតំ	sveaktam
ស្វាគមន៍	sveakmon
ស្វាង	sveang
ស្វាងគ្រុន	sveangkrun
ស្វាងមុខស្វាងមាត់	sveangmukhsveangmoat
ស្វាងឯកើត	sveangaeokaeut
ស្វាង្គ	sveangk
ស្វាង្គនា	sveangknea
ស្វាង្គា	sveangkea
ស្វាចុយភ្នែក	sveachoyphneaek
ស្វាញ	sveanh
ស្វាញស្វិត	sveanhsvit
ស្វាត	sveat
ស្វាត់	svoat
ស្វាត្រោស	sveatrous
ស្វាទុ	sveatu
ស្វាទុភោជន	sveatuphouchn
ស្វាទុរស	sveaturs
ស្វាទុវាចា	sveatuveacha
ស្វាធីន	sveathin
ស្វាធ្យាយ	sveathyeay
ស្វាធ្យាយន	sveathyeayn
ស្វាធ្យាយន៍	sveathyeayn
ស្វាធ្យាយមន្ត	sveathyeaymont
ស្វាធ្យាយិន	sveathyeayin
ស្វាធ្យាយិនី	sveathyeayini
ស្វាន	svean
ស្វានខារ	sveankhar
ស្វានធ្នូ	sveanthnu
ស្វាបតេយ	sveabtey
ស្វាមិក	sveamik
ស្វាមិនី	sveamini
ស្វាមិន៑	sveamin
ស្វាមី	sveami
ស្វាមីភក្ដិ	sveamiphkde
ស្វាមីភក្តិ	sveamiphkte
ស្វាមីភរិយា	sveamiphriyea
ស្វាមីភ័ក្តិ	sveamiphkte
ស្វាយ	sveay
ស្វាយកែវ	sveaykaev
ស្វាយកែវចិន	sveaykaevchen
ស្វាយកែវសារី	sveaykaevsari
ស្វាយក្រវ៉ាន់	sveaykrvean
ស្វាយក្រាប	sveaykreab
ស្វាយក្រាប់	sveaykreab
ស្វាយខ្ចី	sveaykhchei
ស្វាយខ្ទិះ	sveaykhtis
ស្វាយឃ្លាំង	sveaykhleang
ស្វាយចចិប	sveaychacheb
ស្វាយចន្ទី	sveaychanti
ស្វាយចន្លុះ	sveaychanluh
ស្វាយចេក	sveaychek
ស្វាយជុក	sveaychuk
ស្វាយជ្រក់	sveaychrk
ស្វាយជ្រំ	sveaychrum
ស្វាយជ្រះ	sveaychreah
ស្វាយដង្គំ	sveaydangkum
ស្វាយដូនកែវ	sveaydounkaev
ស្វាយដោះក្រមុំ	sveaydaohkrmum
ស្វាយតាយាន	sveaytayean
ស្វាយតឿ	sveaytoea
ស្វាយត្រាំ	sveaytroam
ស្វាយថងដាំ	sveaythangodam
ស្វាយទងខាងជើង	sveaytongokhangcheung
ស្វាយទងខាងត្បូង	sveaytongokhangtboung
ស្វាយទាប	sveayteab
ស្វាយទុរេន	sveayturen
ស្វាយទុំ	sveaytum
ស្វាយទៀប	sveaytieb
ស្វាយធំ	sveaythum
ស្វាយបែក	sveaybaek
ស្វាយប៉ាក	sveaybeak
ស្វាយប៉ោ	sveaybou
ស្វាយប្រទាល	sveaybrteal
ស្វាយពងត្រង	sveaypongotrng
ស្វាយពងមាន់	sveaypongomean
ស្វាយពុំសែន	sveaypumsaen
ស្វាយពោធិ៍	sveaypouthi
ស្វាយព្រៃ	sveayprey
ស្វាយភ្លើង	sveayphleung
ស្វាយភ្លោះ	sveayphluoh
ស្វាយមាស	sveaymeas
ស្វាយមីង	sveayming
ស្វាយមោងកែវ	sveaymoungkaev
ស្វាយយា	sveayyea
ស្វាយរមៀត	sveayromiet
ស្វាយរលំ	sveayrolum
ស្វាយរៀង	sveayrieng
ស្វាយរំពា	sveayrumpea
ស្វាយរំពារ	sveayrumpear
ស្វាយលួង	sveayluong
ស្វាយលើ	sveayleu
ស្វាយល្ហុង	sveaylhong
ស្វាយល្ហួត	sveaylhuot
ស្វាយស	sveays
ស្វាយសង្កើច	sveaysangkaeuch
ស្វាយសរសៃ	sveaysarosai
ស្វាយសាច់ភ្នំ	sveaysachphnum
ស្វាយសេះ	sveayseh
ស្វាយអង្គ	sveayaangk
ស្វាយអន្ទរ	sveayaantr
ស្វាយអន្លក់	sveayaanlk
ស្វាយអាត់	sveayaaat
ស្វាយអុករ៉ង	sveayaokrng
ស្វារាជ	sveareach
ស្វារាជ្យ	sveareachy
ស្វាស	sveas
ស្វាសង់កែង	sveasngkaeng
ស្វាសរោគ	sveasrouk
ស្វាហា	sveaha
ស្វាហាបតិ	sveahabte
ស្វាហាបតិ៍	sveahabte
ស្វាហាប់	sveahab
ស្វាហាយ	sveahay
ស្វាហាយៈ	sveahayeak
ស្វាហារ	sveahar
ស្វាហាលកន្ទប	sveahalkantb
ស្វាហិច	sveahech
ស្វាហៈ	sveahak
ស្វាហ្សីឡែន	sveahseilaen
ស្វាអង្កត់	sveaangkt
ស្វាអង្គត់	sveaangkt
ស្វាឪ	svea
ស្វិត	svit
ស្វិតចៅ	svitchau
ស្វិតជាប់	svitcheab
ស្វិតជើង	svitcheung
ស្វិតដៃ	svitdai
ស្វិតដៃជើង	svitdaicheung
ស្វិតលោងម្ខាង	svitloungmkhang
ស្វិតស្វាញ	svitsveanh
ស្វិទ៑	svit
ស្វីករណ	svikron
ស្វីករណ៍	svikron
ស្វីការ	svikar
ស្វីក្រឹតិ	svikruete
ស្វីក្រឹតិ៍	svikruete
ស្វីក្ឫតិ	svikruete
ស្វីស	svis
ស្វឺ៎យ	svueuy
ស្វៀម	sviem
ស្វេ	sve
ស្វេត	svet
ស្វេតច្ឆត្រ	svetchchhtr
ស្វេតច្ជត្រ	svetchchtr
ស្វេតឆត្រ	svetchhatr
ស្វេតបុស្ប	svetbosb
ស្វេត្រឆត្រ	svetrchhatr
ស្វេទ	svet
ស្វេទជ	svetch
ស្វេយ	svey
ស្វែង	sveaeng
ស្វែងទ្រព្យ	sveaengtrpy
ស្វែងយល់	sveaengyol
ស្វែងរក	sveaengrok
ស្វែងលាភ	sveaengleaph
ស្វែងស្វះ	sveaengsveah
ស្វែត	sveaet
ស្វែតស្វត	sveaetsvt
ស្វៃកាំភ្លើង	sveykamphleung
ស្វៃរ	sveyr
ស្វៃរិ	sveyri
ស្វៃរិន	sveyrin
ស្វៃរិនី	sveyrini
ស្វៃរិន៑	sveyrin
ស្វៃរី	sveyri
ស្វោយ	svouy
ស្វោយទុក្ខ	svouytukkh
ស្វោយរាជ្យ	svouyreachy
ស្វះ	sveah
ស្វះពន្លះ	sveahpnleah
ស្វះស្វែង	sveahsveaeng
ស្វៈ	sveak
ស្វៈទេសៈភ័ក	sveaktesakphk
ស្វ៉ប	svb
ស្វ៊ីត	svit
ស្វ៊ែ	sveae
ស្វ៊ែរ	sveaer
ស្វ់ន	svn
ស្វ័យ	svey
ស្វ័យការពារ	sveykarpear
ស្វ័យគម	sveykom
ស្វ័យគុណ	sveykun
ស្វ័យចល័ត	sveychalt
ស្វ័យជីព	sveychip
ស្វ័យត្រាណ	sveytrean
ស្វ័យទិតៀន	sveytitien
ស្វ័យធនធាន	sveythonothean
ស្វ័យធនភាព	sveythonopheap
ស្វ័យប្រវត្ត	sveybrvott
ស្វ័យប្រវត្តិ	sveybrvotte
ស្វ័យភាព	sveypheap
ស្វ័យវិក្រិតិ	sveyvikrite
ស្វ័យសត្យ	sveysaty
ស្ហែហ្វ	shaehv
ស្អក	sak
ស្អកក	sakak
ស្អកស្អា	sakasaa
ស្អប់	sab
ស្អប់ខ្ពើម	sabkhpeum
ស្អប់គ្នា	sabknea
ស្អប់ចង់ស៊ីសាច់	sabchngsisach
ស្អប់ប្រសព្វចូល	sabbrsapvchoul
ស្អប់មុខ	sabmukh
ស្អយ	say
ស្អស្អា	sasaa
ស្អា	saa
ស្អាង	saang
ស្អាងខ្លួន	saangkhluon
ស្អាងចិត្តជាថ្មី	saangchettcheathmi
ស្អាងចេតិយ	saangchetey
ស្អាងភ្នំ	saangphnum
ស្អាងល្ខោន	saanglkhaon
ស្អាងស្អាត	saangsaat
ស្អាត	saat
ស្អាតធេង	saattheng
ស្អាតបាត	saatbat
ស្អាតស្អាន	saatsaan
ស្អាតស្អំ	saatsaam
ស្អាន	saan
ស្អាប់	saab
ស្អារ	saar
ស្អិត	saet
ស្អិតល្មួត	saetlmuot
ស្អិតស្អាង	saetsaang
ស្អី	saei
ស្អីហ្នឹង	saeihnueng
ស្អីឡើង	saeilaeung
ស្អីអញ្ចេះ	saeianhcheh
ស្អឹត	saoet
ស្អុក	saok
ស្អុង	saong
ស្អុយ	saoy
ស្អុយគគ្រុក	saoykokruk
ស្អុយង៉ោង	saoyngoung
ស្អុយឈ្មោះ	saoychhmuoh
ស្អុយមាត់	saoymoat
ស្អុយរលួយ	saoyroluoy
ស្អុយរហ៊ុម	saoyrohum
ស្អុះ	saoh
ស្អុះស្អាប់	saohsaab
ស្អូច	saouch
ស្អៀច	saiech
ស្អេក	saek
ស្អេកស្កះ	saekskah
ស្អែក	saaek
ស្អែកជាស្អែក	saaekcheasaaek
ស្អែកនេះ	saaekneh
ស្អែកឡើង	saaeklaeung
ស្អែប	saaeb
ស្អែល	saael
ស្អំ	saam
ស្អំជើង	saamcheung
ស្អំស្អាត	saamsaat
ស្អ៊ិះស៊្អុះ	saissaoh
ស្អ៊ុយ	sauy
ស្អ៊ុះ	sauh
ស្អ៊ែល	saeael
ស្ឫគាល	sruekeal
ស្ឫតិ	sruete
ហក	hak
ហកដំណើរ	hakadamnaeur
ហកដំបៅ	hakadambau
ហកសម្ដី	hakasamdei
ហកសិប	hakaseb
ហកសំដី	hakasamdei
ហក់	hak
ហក់ចាប់	hakchab
ហក់ចុះហក់ឡើង	hakchohhklaeung
ហក់មកចឹក	hakmkachoek
ហក់លោត	haklout
ហង	hang
ហងសក្ស	hangosaks
ហងឯង	hangoaeong
ហង់គៈ	hangkeak
ហង់គៈច័ក	hangkeakchk
ហង់គៈជន់	hangkeakchn
ហង់គៈយានៈសាល៉ា	hangkeakyeaneaksalea
ហង់គៈហៈកៈ	hangkeakhakkak
ហង់សៈ	hangsak
ហង្ស	hangs
ហង្សគតិ	hangskote
ហង្សគាមិនី	hangskeamini
ហង្សនាទ	hangsneat
ហង្សនិករ	hangsnikr
ហង្សបាទ	hangsbat
ហង្សពាហនៈ	hangspeahneak
ហង្សពាហៈ	hangspeahak
ហង្សមាលា	hangsmealea
ហង្សយន្ត	hangsyont
ហង្សរថ	hangsroth
ហង្សរាជ	hangsreach
ហង្សសេត	hangsset
ហង្សស្វេត	hangssvet
ហង្សា	hangsa
ហដកៈ	hadakak
ហដ្ដ	hadd
ហដ្ដចោរក	haddchaork
ហដ្ដចោរិកា	haddchaorika
ហដ្ឋ	hadth
ហដ្ឋចិត្ត	hadthchett
ហឋ	hath
ហឋយោគ	hathayouk
ហឋវិទ្យា	hathavityea
ហឋវិឡា	hathavila
ហត	hat
ហតក្កិលេស	hatakkeles
ហតក្លេឝ	hataklesh
ហតិប្រណី	hatebrnei
ហត់	hat
ហត់គឃូស	hatkkhus
ហត់នឿយ	hatnoeay
ហត់ហេវ	hathev
ហត្ថ	hatth
ហត្ថកម្ម	hatthkamm
ហត្ថកម្មមូល	hatthkammmul
ហត្ថករ	hatthkar
ហត្ថកិច្ច	hatthkechch
ហត្ថកោបនា	hatthkaobnea
ហត្ថកោសល្យ	hatthkaosly
ហត្ថកោសល្ល	hatthkaosll
ហត្ថក្រពុំ	hatthkrpum
ហត្ថខ្នាត	hatthkhneat
ហត្ថគត	hatthkot
ហត្ថគ្រាះ	hatthkreaeah
ហត្ថគ្រាៈ	hatthkreaeak
ហត្ថគ្រឹះ	hatthkrueh
ហត្ថច្ឆេត	hatthchchhet
ហត្ថច្ឆេទ	hatthchchhet
ហត្ថជាងឈើ	hatthcheangchheu
ហត្ថបាទសត្វ	hatthbatsatv
ហត្ថបាស	hatthbas
ហត្ថប្បហារ	hatthbbhar
ហត្ថប្រណម្យ	hatthbrnamy
ហត្ថពល	hatthpol
ហត្ថពលិក	hatthpolik
ហត្ថមជ្ឈិមបុរស	hatthmochchhimbors
ហត្ថមូល	hatthmul
ហត្ថរេខាវិទូ	hatthrekhavitu
ហត្ថរេខាវិទ្យា	hatthrekhavityea
ហត្ថលេខា	hatthlekha
ហត្ថលេខាអម	hatthlekhaam
ហត្ថលេខី	hatthlekhei
ហត្ថសាទរ	hatthsatr
ហត្ថសូត្រ	hatthsoutr
ហត្ថហារីយ៍	hatthhariy
ហត្ថា	hattha
ហត្ថាចារ្យ	hatthachary
ហត្ថាជានេយ្យ	hatthacheaneyy
ហត្ថានីក	hatthanik
ហត្ថាភរណៈ	hatthaphronak
ហត្ថាលង្ការ	hatthalngkar
ហត្ថិ	hatthe
ហត្ថិគោបក	hatthekoubk
ហត្ថិគោបិកា	hatthekoubeka
ហត្ថិនី	hattheni
ហត្ថិបាល	hatthebal
ហត្ថិបាលិកា	hatthebalika
ហត្ថិមារក	hatthemeark
ហត្ថិលិង្គ	hatthelingk
ហត្ថី	hatthei
ហត្ថីលិង្គ	hattheilingk
ហត្ថូបករណ៍	hatthoubkaron
ហទយ	hatoy
ហទយកោស	hatoyokaos
ហទយក័ណ្ណ	hatoyoknn
ហទយបរិធាន	hatoyobarithean
ហទយពិការ	hatoyopikar
ហទយរូប	hatoyorub
ហទយរោគ	hatoyorouk
ហទយលេខ	hatoyolekh
ហទយវត្ថុ	hatoyovottho
ហទយវិការ	hatoyovikar
ហទយវិទ្យា	hatoyovityea
ហទយសាស្ត្រ	hatoyosastr
ហទយោទរ	hatoyoutr
ហទ័យ	hatey
ហន	han
ហនកម្ម	hanokamm
ហនាវុធ	haneavuth
ហនុមត៑	hanumt
ហនុមន្ត	hanumnt
ហនុមាន	hanumean
ហនុមាន្ត	hanumeant
ហនូ	hanu
ហនូកូវ	hanukouv
ហនូវកូវ	hanuvkouv
ហនេយ្យុំ	haneyyum
ហន់	han
ហន៑	han
ហន្ទយុំ	hantyum
ហប	hab
ហបរិយោសាន	habariyousan
ហបហត់	habahat
ហប់	hab
ហប់ជក់ត្នោត	habchktnout
ហប់បាត្រដែក	habbatrdaek
ហប់ផ្តិលបែក	habphtelbaek
ហម	ham
ហម៌្យ	hamy
ហម្មិយ	hammiy
ហម្មិយៈ	hammiyeak
ហយ	hay
ហយជវ័ន	hayochovn
ហយពល	hayopol
ហយពាហនៈ	hayopeahneak
ហយពិសេស	hayopises
ហយរថ	hayoroth
ហយវាហនៈ	hayoveahneak
ហយា	hayea
ហយានិក	hayeanik
ហយានីក	hayeanik
ហយិន	hayin
ហយី	hayi
ហយោ	hayou
ហយោត្តម	hayouttm
ហយៈ	hayeak
ហរ	har
ហរតិយ	harotey
ហរទ័យ	harotey
ហរនេត្រ	haronetr
ហរពល	haropol
ហរិ	hari
ហរិចន្ទន៍	harichntn
ហរិត	harit
ហរិតជាតិ	haritcheate
ហរិតបណ្ណ	haritbann
ហរិតបត្រ	haritbatr
ហរិតផល	haritphal
ហរិតាល	harital
ហរិតាលម័យ	haritalmey
ហរិត៑	harit
ហរិរក្ខ	harirkkh
ហរិរក្ស	harirks
ហរិរក្សរាមា	harirksreamea
ហរិរាជ	harireach
